# Structural comparison of ru/userGuide.t2t against ru/userGuide-newRevisions/16308/userGuide.t2t
en 1.2. start:36 paragraphs:1, tables:0, lists:0
ru 1.2. start:37 paragraphs:1, tables:0, lists:0
en 1.3. start:40 paragraphs:3, tables:0, lists:0
ru 1.3. start:41 paragraphs:3, tables:0, lists:0
en 1.4. start:47 paragraphs:2, tables:0, lists:0
ru 1.4. start:48 paragraphs:2, tables:0, lists:0
en 1.5. start:55 paragraphs:2, tables:0, lists:0
ru 1.5. start:56 paragraphs:2, tables:0, lists:0
en 2. start:63 paragraphs:0, tables:0, lists:1
ru 2. start:64 paragraphs:0, tables:0, lists:1
en 3. start:72 paragraphs:6, tables:0, lists:0
ru 3. start:73 paragraphs:6, tables:0, lists:0
en 3.1. start:91 paragraphs:1, tables:0, lists:1
ru 3.1. start:92 paragraphs:1, tables:0, lists:1
en 3.2. start:100 paragraphs:2, tables:0, lists:0
ru 3.2. start:101 paragraphs:2, tables:0, lists:0
en 3.2.1. start:110 paragraphs:1, tables:0, lists:0
ru 3.2.1. start:111 paragraphs:1, tables:0, lists:0
en 3.2.2. start:116 paragraphs:1, tables:0, lists:0
ru 3.2.2. start:117 paragraphs:1, tables:0, lists:0
en 3.2.3. start:121 paragraphs:1, tables:0, lists:0
ru 3.2.3. start:122 paragraphs:1, tables:0, lists:0
en 3.2.4. start:125 paragraphs:1, tables:0, lists:0
ru 3.2.4. start:126 paragraphs:1, tables:0, lists:0
en 3.3. start:130 paragraphs:2, tables:0, lists:0
ru 3.3. start:131 paragraphs:2, tables:0, lists:0
en 4. start:142 paragraphs:0, tables:0, lists:0
ru 4. start:143 paragraphs:0, tables:0, lists:0
en 4.1. start:144 paragraphs:5, tables:0, lists:0
ru 4.1. start:145 paragraphs:5, tables:0, lists:0
en 4.1.1. start:162 paragraphs:1, tables:0, lists:0
ru 4.1.1. start:165 paragraphs:1, tables:0, lists:0
en 4.2. start:171 paragraphs:0, tables:0, lists:0
ru 4.2. start:174 paragraphs:0, tables:0, lists:0
